time,open,high,low,close,volume,_symbol,_extracted_at,_source
2025-03-31,56.09,56.83,55.91,55.91,5308209,VNM,2026-02-10,VCI
2025-04-01,56.46,56.46,55.63,56.09,3137933,VNM,2026-02-10,VCI
2025-04-02,56.00,56.64,55.81,55.81,4687947,VNM,2026-02-10,VCI
2025-04-03,54.89,54.98,51.94,52.12,16961756,VNM,2026-02-10,VCI
2025-04-04,49.82,54.24,49.63,53.97,9790843,VNM,2026-02-10,VCI
2025-04-08,52.31,52.49,50.28,50.28,13341671,VNM,2026-02-10,VCI
2025-04-09,47.42,50.92,47.42,47.97,9895364,VNM,2026-02-10,VCI
2025-04-10,51.29,51.29,51.29,51.29,1515755,VNM,2026-02-10,VCI
2025-04-11,51.29,53.88,51.29,53.05,9178387,VNM,2026-02-10,VCI
2025-04-14,53.41,53.41,52.12,52.49,5487359,VNM,2026-02-10,VCI
2025-04-15,52.31,53.05,51.94,51.94,4173838,VNM,2026-02-10,VCI
2025-04-16,52.03,52.77,51.66,51.66,3741175,VNM,2026-02-10,VCI
2025-04-17,51.20,52.22,50.55,51.66,7226501,VNM,2026-02-10,VCI
2025-04-18,52.31,52.86,52.22,52.22,3042348,VNM,2026-02-10,VCI
2025-04-21,52.40,52.68,52.12,52.31,3024998,VNM,2026-02-10,VCI
2025-04-22,52.22,52.22,49.72,51.66,6966814,VNM,2026-02-10,VCI
2025-04-23,52.40,52.86,52.03,52.03,3589382,VNM,2026-02-10,VCI
2025-04-24,52.12,52.40,51.85,51.94,1959766,VNM,2026-02-10,VCI
2025-04-25,52.12,53.78,52.12,53.78,8125834,VNM,2026-02-10,VCI
2025-04-28,53.78,53.78,53.05,53.05,2670118,VNM,2026-02-10,VCI
2025-04-29,53.05,53.41,52.77,53.14,2560129,VNM,2026-02-10,VCI
2025-05-05,53.05,53.14,52.49,52.49,4242785,VNM,2026-02-10,VCI
2025-05-06,52.58,52.95,52.49,52.49,2505912,VNM,2026-02-10,VCI
2025-05-07,52.49,53.23,52.49,52.77,2910910,VNM,2026-02-10,VCI
2025-05-08,52.77,53.32,52.77,52.95,3266128,VNM,2026-02-10,VCI
2025-05-09,53.23,54.06,53.23,53.23,3839463,VNM,2026-02-10,VCI
2025-05-12,53.51,54.15,53.51,54.06,5868031,VNM,2026-02-10,VCI
2025-05-13,54.34,54.43,53.78,53.97,4359100,VNM,2026-02-10,VCI
2025-05-14,54.45,54.45,53.59,53.68,5045042,VNM,2026-02-10,VCI
2025-05-15,53.68,54.45,53.68,54.26,4097846,VNM,2026-02-10,VCI
2025-05-16,54.26,54.26,53.68,53.68,3204963,VNM,2026-02-10,VCI
2025-05-19,53.68,54.45,53.49,53.49,2803390,VNM,2026-02-10,VCI
2025-05-20,53.59,53.78,53.30,53.40,3228264,VNM,2026-02-10,VCI
2025-05-21,53.49,53.49,52.92,52.92,4473493,VNM,2026-02-10,VCI
2025-05-22,52.92,53.11,52.54,52.54,2674376,VNM,2026-02-10,VCI
2025-05-23,52.73,53.01,52.63,52.82,1671303,VNM,2026-02-10,VCI
2025-05-26,52.92,53.30,52.54,53.20,2735753,VNM,2026-02-10,VCI
2025-05-27,53.40,53.49,52.82,52.92,3691308,VNM,2026-02-10,VCI
2025-05-28,53.20,53.20,52.63,52.73,3908641,VNM,2026-02-10,VCI
2025-05-29,53.01,53.01,52.63,52.63,2185775,VNM,2026-02-10,VCI
2025-05-30,52.92,52.92,52.34,52.44,3289850,VNM,2026-02-10,VCI
2025-06-02,52.44,52.73,52.06,52.15,2650910,VNM,2026-02-10,VCI
2025-06-03,52.25,53.49,52.25,53.01,4318030,VNM,2026-02-10,VCI
2025-06-04,53.30,55.21,53.01,54.35,8429633,VNM,2026-02-10,VCI
2025-06-05,54.45,54.54,53.78,53.78,2800586,VNM,2026-02-10,VCI
2025-06-06,53.87,53.87,52.63,52.82,4131010,VNM,2026-02-10,VCI
2025-06-09,52.92,53.78,52.82,52.82,3041347,VNM,2026-02-10,VCI
2025-06-10,53.01,53.59,52.63,52.82,3006169,VNM,2026-02-10,VCI
2025-06-11,52.82,53.11,52.63,52.73,1724703,VNM,2026-02-10,VCI
2025-06-12,53.11,53.68,53.01,53.40,3287375,VNM,2026-02-10,VCI
2025-06-13,53.01,53.20,52.73,53.01,3550452,VNM,2026-02-10,VCI
2025-06-16,52.92,54.06,52.92,53.78,4739919,VNM,2026-02-10,VCI
2025-06-17,53.87,54.16,53.59,53.68,3412338,VNM,2026-02-10,VCI
2025-06-18,53.78,54.26,53.49,53.49,4104359,VNM,2026-02-10,VCI
2025-06-19,53.49,53.87,53.20,53.59,2633373,VNM,2026-02-10,VCI
2025-06-20,53.78,54.16,53.40,54.06,4666374,VNM,2026-02-10,VCI
2025-06-23,53.49,53.87,53.30,53.40,3026667,VNM,2026-02-10,VCI
2025-06-24,53.68,53.97,53.59,53.87,2808803,VNM,2026-02-10,VCI
2025-06-25,53.97,55.21,53.87,54.26,6276981,VNM,2026-02-10,VCI
2025-06-26,54.26,54.45,53.78,53.87,3122709,VNM,2026-02-10,VCI
2025-06-27,54.26,55.97,53.78,55.21,8906332,VNM,2026-02-10,VCI
2025-06-30,55.50,56.07,55.31,55.40,4495276,VNM,2026-02-10,VCI
2025-07-01,55.78,55.78,54.64,54.92,4022091,VNM,2026-02-10,VCI
2025-07-02,55.02,55.40,54.73,55.12,3779271,VNM,2026-02-10,VCI
2025-07-03,55.12,55.78,54.73,54.92,5300539,VNM,2026-02-10,VCI
2025-07-04,54.92,55.31,54.73,55.21,2700639,VNM,2026-02-10,VCI
2025-07-07,55.40,55.69,55.12,55.31,3769261,VNM,2026-02-10,VCI
2025-07-08,55.40,56.55,55.31,56.36,7172064,VNM,2026-02-10,VCI
2025-07-09,56.64,57.89,56.45,57.50,9648148,VNM,2026-02-10,VCI
2025-07-10,57.79,57.89,57.03,57.03,5254397,VNM,2026-02-10,VCI
2025-07-11,57.60,58.08,57.12,57.12,6240382,VNM,2026-02-10,VCI
2025-07-14,57.31,58.08,56.64,57.60,6092143,VNM,2026-02-10,VCI
2025-07-15,57.89,58.46,57.41,57.41,6562134,VNM,2026-02-10,VCI
2025-07-16,57.31,57.50,56.93,57.41,4966353,VNM,2026-02-10,VCI
2025-07-17,57.60,57.89,57.12,57.41,6363587,VNM,2026-02-10,VCI
2025-07-18,57.41,58.36,57.31,57.50,5833240,VNM,2026-02-10,VCI
2025-07-21,57.60,58.08,57.31,57.31,5509591,VNM,2026-02-10,VCI
2025-07-22,57.31,57.50,56.83,57.50,4741106,VNM,2026-02-10,VCI
2025-07-23,57.69,58.94,57.50,58.94,9237999,VNM,2026-02-10,VCI
2025-07-24,59.32,61.13,59.32,60.85,13435605,VNM,2026-02-10,VCI
2025-07-25,60.94,60.94,60.27,60.37,5132723,VNM,2026-02-10,VCI
2025-07-28,60.46,61.04,60.18,60.46,8472643,VNM,2026-02-10,VCI
2025-07-29,60.46,61.32,59.99,60.37,10723928,VNM,2026-02-10,VCI
2025-07-30,60.18,60.66,59.99,60.08,6086980,VNM,2026-02-10,VCI
2025-07-31,60.18,60.66,57.69,58.46,10582428,VNM,2026-02-10,VCI
2025-08-01,58.65,58.65,57.31,57.31,5339082,VNM,2026-02-10,VCI
2025-08-04,57.12,58.08,57.12,57.69,3752196,VNM,2026-02-10,VCI
2025-08-05,57.79,58.74,57.31,57.41,9574374,VNM,2026-02-10,VCI
2025-08-06,57.69,58.94,57.69,58.55,5382357,VNM,2026-02-10,VCI
2025-08-07,59.13,59.22,58.08,58.17,4748027,VNM,2026-02-10,VCI
2025-08-08,58.27,59.03,57.89,58.08,6510574,VNM,2026-02-10,VCI
2025-08-11,58.27,59.32,58.17,58.74,5795341,VNM,2026-02-10,VCI
2025-08-12,59.32,59.60,58.65,59.03,5217050,VNM,2026-02-10,VCI
2025-08-13,59.22,59.32,58.08,58.36,6218119,VNM,2026-02-10,VCI
2025-08-14,58.55,59.41,58.27,58.94,6541163,VNM,2026-02-10,VCI
2025-08-15,59.22,59.41,58.27,58.27,5667842,VNM,2026-02-10,VCI
2025-08-18,58.36,58.55,57.89,57.98,4783737,VNM,2026-02-10,VCI
2025-08-19,58.08,58.46,57.69,57.79,5264209,VNM,2026-02-10,VCI
2025-08-20,57.79,58.17,56.93,57.31,6346136,VNM,2026-02-10,VCI
2025-08-21,57.41,58.17,56.93,57.41,5816129,VNM,2026-02-10,VCI
2025-08-22,57.12,57.22,55.88,56.07,7210343,VNM,2026-02-10,VCI
2025-08-25,56.26,56.93,56.07,56.07,3365985,VNM,2026-02-10,VCI
