Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,
VIC,2020,2,1.90,2.45,0.97,1.60,0.27,1.03,46.00,368.74,77.10,491.84,0.99,-0.01,0.15,0.09,0.06,0.01,0.02,11824251388903.00,-343514000000,0.96,0.14,0.54,0.11,3.45,340610760413000.00,3382430590.00,45.60,4.20,3.14,-278.16,604.81,24002.88,41.83,VIC,2026-02-10,VCI
VIC,2020,1,1.72,2.39,0.93,1.58,0.33,1.30,37.08,306.38,66.34,409.81,1.19,-0.12,0.13,0.03,0.06,0.04,0.02,18650040121892.00,-1894924000000,1.00,0.10,0.55,0.72,3.39,282432954265000.00,3382430590.00,41.28,3.63,2.27,-69.55,129.62,23006.52,23.69,VIC,2026-02-10,VCI
VIC,2019,4,1.67,2.35,0.90,1.56,0.38,1.65,34.01,279.63,63.81,377.46,1.31,-0.00,0.23,0.12,0.07,0.04,0.02,18963011000000.00,-74763000000,1.09,0.15,0.63,0.04,3.39,311183614280000.00,3382430590.00,41.83,4.07,2.39,19.77,1362.16,22592.47,23.20,VIC,2026-02-10,VCI
VIC,2019,3,1.27,1.85,0.63,1.62,0.40,2.04,28.10,231.27,62.98,322.36,1.58,0.14,0.36,0.02,0.04,0.06,0.01,20047514125137.00,4452317525752,1.10,0.11,0.59,-2.01,2.85,388641274791000.00,3382430590.00,84.42,5.05,2.97,-73.66,147.12,22740.62,25.81,VIC,2026-02-10,VCI
VIC,2019,2,1.27,1.68,0.63,1.63,0.41,2.23,28.20,207.04,58.52,293.76,1.76,0.16,0.33,0.03,0.04,0.05,0.02,16229768144642.00,6335864834215,1.30,0.19,0.91,-4.41,2.68,400173872524400.00,3345935389.00,82.48,4.97,3.26,105.47,407.15,24051.80,31.69,VIC,2026-02-10,VCI
VIC,2019,1,1.58,2.07,0.50,1.32,0.41,2.55,27.75,217.11,56.21,301.06,1.68,-0.00,0.22,0.05,0.04,0.04,0.01,13495913944327.00,-29597977846,1.24,0.06,0.79,0.02,3.07,409877085152500.00,3345935389.00,113.90,7.46,3.54,-77.37,310.30,16424.87,40.16,VIC,2026-02-10,VCI
VIC,2018,4,1.44,1.91,0.48,1.28,0.49,2.87,19.97,219.89,45.19,285.05,1.66,0.06,0.20,0.06,0.05,0.06,0.02,16598493160965.00,2394674000000,1.24,0.12,0.73,-2.83,2.92,362887333851000.00,3191621230.00,98.61,6.77,2.98,-33.91,758.22,16793.42,27.86,VIC,2026-02-10,VCI
VIC,2018,3,1.26,1.73,0.44,1.27,0.49,3.00,19.88,209.67,42.00,271.55,1.74,0.06,0.28,0.03,0.05,0.08,0.02,18266391401737.00,1523800737730,1.17,0.15,0.76,-1.44,2.73,331609445797000.00,3191621230.00,86.21,6.36,2.83,18.94,192.30,16324.91,23.60,VIC,2026-02-10,VCI
VIC,2018,2,0.00,0.00,0.47,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.25,0.01,0.00,0.00,0.00,0.00,4518962414250,0.00,0.00,0.00,-4.33,2.86,308310610818000.00,3191621230.00,85.02,7.37,2.66,21.90,54.65,13105.01,18.10,VIC,2026-02-10,VCI
VIC,2018,1,1.45,2.76,0.62,0.77,0.50,3.15,19.93,249.94,42.62,312.49,1.46,0.11,0.24,0.03,0.08,0.11,0.02,16946200572070.00,3187266226067,0.78,0.06,0.38,-3.21,3.76,339588498872000.00,3191621230.00,79.33,8.45,3.28,12.08,288.08,12587.56,22.85,VIC,2026-02-10,VCI
VIC,2017,4,1.53,3.07,0.68,0.68,0.45,2.86,18.21,324.55,42.73,385.50,1.12,0.14,0.28,0.06,0.09,0.11,0.02,15536251153832.00,4638056090859,0.81,0.07,0.36,-8.37,4.11,332351202204000.00,2637707954.00,74.48,10.49,3.72,19.80,810.87,12008.25,23.92,VIC,2026-02-10,VCI
VIC,2017,3,1.63,3.12,0.60,0.64,0.42,2.93,20.91,309.52,46.90,377.33,1.18,0.11,0.32,0.02,0.04,0.09,0.01,12405092412961.00,2415049033328,0.88,0.06,0.42,-2.13,4.12,224205176090000.00,2637707954.00,115.38,8.11,2.77,27.74,149.15,10482.11,21.24,VIC,2026-02-10,VCI
VIC,2017,2,1.77,3.47,0.67,0.56,0.38,2.68,18.53,331.97,48.58,399.08,1.10,0.14,0.31,0.04,0.04,0.08,0.01,10848258364870.00,2833382187540,0.83,0.08,0.36,-3.16,4.47,152987061332000.00,2637707954.00,88.68,5.68,2.19,12.17,314.38,10207.55,17.29,VIC,2026-02-10,VCI
VIC,2017,1,1.92,3.34,0.61,0.56,0.34,2.42,28.99,345.44,54.21,428.64,1.06,0.11,0.34,0.06,0.04,0.06,0.01,8702201297134.00,1633064993401,0.88,0.13,0.38,-2.19,4.34,113157671226600.00,2637707954.00,66.97,4.31,1.90,27.88,335.82,9947.55,16.57,VIC,2026-02-10,VCI
VIC,2016,4,1.63,2.99,0.56,0.58,0.35,2.47,18.06,354.08,55.27,427.42,1.03,0.07,0.31,-0.01,0.06,0.00,0.01,8586612117590.00,1656619560000,0.90,0.10,0.39,-0.93,4.03,107882255318600.00,2637707954.00,44.22,4.01,1.87,23.98,-62.65,10191.54,16.05,VIC,2026-02-10,VCI
VIC,2016,3,2.03,3.13,0.56,0.54,0.31,2.24,31.29,334.55,56.44,422.28,1.09,0.10,0.32,0.02,0.05,0.00,0.01,8345468270929.00,1057480436844,1.00,0.12,0.55,-1.77,4.13,112102588045000.00,2637707954.00,58.12,4.30,2.29,7.26,66.46,9884.13,17.64,VIC,2026-02-10,VCI
VIC,2016,2,0.00,0.00,0.52,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.26,0.08,0.00,0.00,0.00,0.00,98767301140,0.00,0.00,0.00,-0.12,3.57,113025785828900.00,2637707954.00,55.70,3.50,2.48,5.00,289.98,12259.57,19.19,VIC,2026-02-10,VCI
VIC,2016,1,1.85,2.63,0.52,0.53,0.32,2.53,19.66,310.83,46.83,377.32,1.17,0.18,0.32,0.05,0.04,0.00,0.01,7955425178039.00,2609632016684,1.06,0.09,0.67,-3.53,3.63,110891591788000.00,2153234792.00,70.59,3.86,2.62,3.80,361.62,13354.06,17.25,VIC,2026-02-10,VCI
VIC,2015,4,0.00,0.00,0.53,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.32,0.01,0.00,0.00,0.00,0.00,1971346261607,0.00,0.00,0.00,-2.35,3.90,101842379677500.00,1939854851.00,80.67,4.24,2.99,3.52,96.60,12383.63,17.33,VIC,2026-02-10,VCI
VIC,2015,3,0.00,0.00,0.43,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.38,0.04,0.00,0.00,0.00,0.00,822532101381,0.00,0.00,0.00,-2.28,3.98,85668222913000.00,1882818086.00,63.29,3.78,3.31,3.06,135.50,12023.31,19.00,VIC,2026-02-10,VCI
VIC,2015,2,2.13,2.60,0.41,0.40,0.28,1.21,16.99,340.86,35.68,393.53,1.07,0.15,0.35,0.05,0.09,0.00,0.02,7117118394600.00,895108885800,1.24,0.22,0.72,-1.53,3.60,81951343256500.00,1849917455.00,40.90,2.97,3.12,4.77,156.39,14940.51,15.13,VIC,2026-02-10,VCI
VIC,2015,1,0.00,0.00,1.22,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.36,0.07,0.00,0.00,0.00,0.00,1248806813464,0.00,0.00,0.00,-2.31,4.61,76840739160900.00,1842703577.00,29.35,2.91,2.75,5.72,232.24,14319.17,13.86,VIC,2026-02-10,VCI
VIC,2014,4,3.20,3.10,1.33,0.26,0.33,1.63,11.45,375.62,29.43,416.51,0.97,0.19,0.37,0.06,0.18,0.00,0.04,9703907089676.00,1178098667588,1.42,0.56,0.74,-1.79,4.43,68517731384000.00,1457824072.00,20.54,3.35,2.47,6.56,243.68,14022.19,9.71,VIC,2026-02-10,VCI
VIC,2014,3,3.35,3.01,1.18,0.24,0.35,1.69,16.13,311.40,24.83,352.36,1.17,0.28,0.37,0.12,0.21,15.29,0.05,9511046813273.00,2154763862366,1.96,0.67,1.23,-2.69,4.49,68800456135400.00,1454555098.00,17.73,3.73,2.43,653.25,611.38,12668.08,10.02,VIC,2026-02-10,VCI
VIC,2014,2,3.48,3.43,0.88,0.23,0.39,2.06,12.37,321.46,28.42,362.25,1.14,0.31,0.38,0.11,0.28,15.20,0.06,10102376530310.00,2350181588119,1.70,0.52,1.10,-3.17,4.80,68381413148100.00,1421651001.00,14.15,3.90,2.35,23.50,604.10,12330.22,9.35,VIC,2026-02-10,VCI
VIC,2014,1,3.71,3.68,1.01,0.20,0.34,1.74,12.16,430.61,37.31,480.07,0.85,0.30,0.39,0.17,0.47,13.91,0.11,13005714455668.00,1845217690100,1.70,0.61,0.99,-3.60,5.04,62596828350000.00,894240405.00,8.42,4.03,2.66,405.42,1202.88,17388.61,6.55,VIC,2026-02-10,VCI
VIC,2013,4,3.58,3.95,0.80,0.23,0.28,1.64,21.19,590.54,46.05,657.77,0.62,0.22,0.32,0.12,0.54,0.00,0.10,11789668539802.00,1515488333257,1.49,0.49,0.78,-3.16,4.22,60808347540000.00,894240405.00,9.18,4.27,3.36,6.71,919.62,15924.77,6.93,VIC,2026-02-10,VCI
VIC,2013,3,2.27,2.74,0.69,0.21,0.25,1.23,24.33,788.86,73.75,886.94,0.46,0.35,0.39,0.22,0.47,8.54,0.11,10696952363456.00,2938734456299,1.11,0.32,0.49,-12.98,3.76,64065307644000.00,908727768.00,10.51,3.91,4.44,9.62,2063.00,18045.63,7.26,VIC,2026-02-10,VCI
VIC,2013,2,2.47,2.97,0.90,0.19,0.13,0.61,51.51,1562.56,132.40,1746.47,0.23,0.23,0.45,1.77,0.38,7.75,0.08,8121270767571.00,486814389555,1.22,0.25,0.45,-1.30,4.00,58158577152000.00,908727768.00,12.85,4.06,8.02,162.85,4175.37,15762.77,9.22,VIC,2026-02-10,VCI
VIC,2013,1,3.72,4.36,1.05,0.14,0.13,0.61,50.58,1428.55,105.92,1585.05,0.26,0.20,0.53,0.29,0.11,7.99,0.02,3802897170621.00,192308913980,1.06,0.20,0.39,-0.45,5.43,59896809988500.00,928632713.00,53.30,5.52,8.55,-36.82,309.13,11685.38,20.77,VIC,2026-02-10,VCI
VIC,2008,2,0.00,0.00,0.24,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.75,0.62,0.00,0.00,0.00,0.00,23142176323,0.00,0.00,0.00,-2.66,2.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,VIC,2026-02-10,VCI
