time,open,high,low,close,volume,_symbol,_extracted_at,_source
2025-04-09,83.46,92.16,83.46,89.86,16920135,FPT,2026-02-10,VCI
2025-04-10,96.08,96.08,96.08,96.08,1009422,FPT,2026-02-10,VCI
2025-04-11,99.84,101.12,97.54,101.12,19273397,FPT,2026-02-10,VCI
2025-04-14,102.40,102.40,97.28,101.12,9243738,FPT,2026-02-10,VCI
2025-04-15,99.07,99.84,97.02,98.99,7787164,FPT,2026-02-10,VCI
2025-04-16,97.71,98.90,92.07,92.07,18073930,FPT,2026-02-10,VCI
2025-04-17,89.60,94.98,89.51,93.35,8598000,FPT,2026-02-10,VCI
2025-04-18,94.29,98.13,94.29,95.23,7503525,FPT,2026-02-10,VCI
2025-04-21,95.57,96.00,93.87,95.32,4346403,FPT,2026-02-10,VCI
2025-04-22,94.72,94.89,88.75,94.21,9157581,FPT,2026-02-10,VCI
2025-04-23,95.32,95.32,91.90,94.21,5722250,FPT,2026-02-10,VCI
2025-04-24,95.15,97.02,94.38,95.57,7752762,FPT,2026-02-10,VCI
2025-04-25,95.57,95.91,94.04,95.91,5395660,FPT,2026-02-10,VCI
2025-04-28,95.57,95.91,93.18,93.44,3871885,FPT,2026-02-10,VCI
2025-04-29,93.52,94.29,93.10,93.35,2963086,FPT,2026-02-10,VCI
2025-05-05,93.44,93.61,91.22,92.67,7187087,FPT,2026-02-10,VCI
2025-05-06,92.67,94.72,92.67,93.61,5700105,FPT,2026-02-10,VCI
2025-05-07,93.52,94.89,92.93,93.61,3939067,FPT,2026-02-10,VCI
2025-05-08,94.21,97.79,93.01,97.54,12669001,FPT,2026-02-10,VCI
2025-05-09,97.54,99.33,96.85,98.99,8515499,FPT,2026-02-10,VCI
2025-05-12,99.84,101.29,99.58,100.95,8737998,FPT,2026-02-10,VCI
2025-05-13,102.40,102.66,101.20,101.97,8585153,FPT,2026-02-10,VCI
2025-05-14,102.40,107.78,102.40,107.78,12115033,FPT,2026-02-10,VCI
2025-05-15,107.95,108.29,105.47,106.67,7832064,FPT,2026-02-10,VCI
