cp,năm,kỳ,tăng_trưởng_doanh_thu,doanh_thu_đồng,lợi_nhuận_sau_thuế_của_cổ_đông_công_ty_mẹ_đồng,tăng_trưởng_lợi_nhuận,thu_nhập_tài_chính,chi_phí_tiền_lãi_vay,doanh_thu_bán_hàng_và_cung_cấp_dịch_vụ,các_khoản_giảm_trừ_doanh_thu,doanh_thu_thuần,giá_vốn_hàng_bán,lãi_gộp,chi_phí_tài_chính,lãi_lỗ_từ_công_ty_liên_doanh,chi_phí_bán_hàng,chi_phí_quản_lý_dn,lãi_lỗ_từ_hoạt_động_kinh_doanh,thu_nhập_khác,lãi_lỗ_trong_công_ty_liên_doanh_liên_kết,thu_nhập_chi_phí_khác,lợi_nhuận_khác,ln_trước_thuế,chi_phí_thuế_tndn_hiện_hành,chi_phí_thuế_tndn_hoãn_lại,lợi_nhuận_thuần,cổ_đông_thiểu_số,cổ_đông_của_công_ty_mẹ,symbol,extracted_at,source
FPT,2016,1,-0.01,8702590304172,345690044903,-0.19,161405373886,-63801798833,8702590304172,-236072043153,8466518261019,-6780366914104,1686151346915,-124384876152,7387580051,-597560642366,-578217447989,554781334345,18635534991,0,-10671233393,7964301598,562745635943,-85635186968,-30601827384,446508621591,100818576688,345690044903,FPT,2026-02-10,VCI
FPT,2015,4,-0.32,10476293038008,662357845998,0.47,157336802226,-105133994523,10476293038008,-27250254334,10449042783674,-8290362197319,2158680586355,-165561862702,8848742276,-500710078079,-815101921953,843492268123,54002904929,0,-15405975614,38596929315,882089197438,-162692014996,61324194878,780721377320,118363531322,662357845998,FPT,2026-02-10,VCI
FPT,2015,3,-0.28,9728980764776,389063984750,-0.00,111424116814,-54828938991,9728980764776,-201517258200,9527463506576,-7612866881691,1914596624885,-194923018629,7754671095,-589228067063,-627797566145,621826760957,44791672713,0,-48118470482,-3326797769,618499963188,-107228020329,7954519993,519226462852,130162478102,389063984750,FPT,2026-02-10,VCI
FPT,2015,2,-0.12,9479161552625,456633177453,0.07,98267830949,-65642153436,9479161552625,-150621636728,9328539915897,-7526627132917,1801912782980,-142841952425,8970427651,-523476460522,-531229058610,711603570023,12063446445,0,-18642470839,-6579024394,705024545629,-125417226089,10901745594,590509065134,133875887681,456633177453,FPT,2026-02-10,VCI
FPT,2015,1,-0.20,8758070943956,424660831199,0.17,89420051565,-40841485197,8758070943956,-116589493666,8641481450290,-6951763574350,1689717875940,-120816576677,0,-522723919797,-506656453189,628940977842,38083316195,8900846196,-30593135201,7490180994,645332005032,-101775111228,3791884748,547348778552,122687947353,424660831199,FPT,2026-02-10,VCI
FPT,2014,4,0.36,15407479354559,450528882174,-0.05,109430790906,-91952795323,15407479354559,-74288021511,15333191333048,-13564975357078,1768215975970,-129236167175,0,-542275938406,-593725112616,612409548679,103061210795,12804742843,-97472128534,5589082261,630803373783,-100607451803,3440252539,533636174519,83107292345,450528882174,FPT,2026-02-10,VCI
FPT,2014,3,0.13,13536552309844,389097954831,0.18,98394902661,-49194248354,13536552309844,-59337401734,13477214908110,-11870554158755,1606660749355,-77732928024,0,-415170114454,-621219823005,590932786533,40894534832,10017911454,-42420969379,-1526434547,599424263440,-102582797721,6880067743,503721533462,114623578631,389097954831,FPT,2026-02-10,VCI
FPT,2014,2,0.15,10733370147857,427585557091,-0.04,75899632592,-47212296680,10733370147857,-47959136695,10685411011162,-9131407438258,1554003572904,-88081178482,0,-387407906435,-526030515916,628383604663,26772619527,7702177067,-17853916881,8918702646,645004484376,-96429427589,8883281242,557458338029,129872780938,427585557091,FPT,2026-02-10,VCI
FPT,2014,1,0.27,10917007018701,361517383294,0.01,83919239549,-35506573224,10917007018701,-49685343347,10867321675354,-9522263035169,1345058640185,-61447491419,0,-344492563430,-456174862257,566862962628,37979782413,10333768081,-33605874655,4373907758,581570638467,-105743731666,5126536321,480953443122,119436059828,361517383294,FPT,2026-02-10,VCI
FPT,2013,4,0.00,11312683119637,474009965781,0.00,183905929068,-33207510570,11312683119637,-29256140371,11283426979266,-9645313343949,1638113635317,-59138016837,0,-477727928366,-608518128319,676635490863,25294979068,8940007932,-34478752843,-9183773775,676391725020,-141070855257,5902675341,541223545104,67213579323,474009965781,FPT,2026-02-10,VCI
FPT,2013,3,0.00,12022073340628,330589868211,0.00,60335678666,-33765560183,12022073340628,-21473944372,12000599396256,-10654524368153,1346075028103,-65079637611,0,-344080456028,-450431684294,546818928836,59853465674,4531540007,-48674479654,11178986020,562529454863,-105574858120,8154888208,465109484951,134519616740,330589868211,FPT,2026-02-10,VCI
