cp,năm,kỳ,lãi_lỗ_ròng_trước_thuế,khấu_hao_tscđ,dự_phòng_rr_tín_dụng,lãi_lỗ_chênh_lệch_tỷ_giá_chưa_thực_hiện,lãi_lỗ_từ_thanh_lý_tài_sản_cố_định,lãi_lỗ_từ_hoạt_động_đầu_tư,thu_nhập_lãi,thu_lãi_và_cổ_tức,lưu_chuyển_tiền_thuần_từ_hđkd_trước_thay_đổi_vlđ,tăng_giảm_các_khoản_phải_thu,tăng_giảm_hàng_tồn_kho,tăng_giảm_các_khoản_phải_trả,tăng_giảm_chi_phí_trả_trước,chi_phí_lãi_vay_đã_trả,tiền_thu_nhập_doanh_nghiệp_đã_trả,tiền_thu_khác_từ_các_hoạt_động_kinh_doanh,tiền_chi_khác_từ_các_hoạt_động_kinh_doanh,lưu_chuyển_tiền_tệ_ròng_từ_các_hoạt_động_sxkd,mua_sắm_tscđ,tiền_thu_được_từ_thanh_lý_tài_sản_cố_định,tiền_chi_cho_vay_mua_công_cụ_nợ_của_đơn_vị_khác_đồng,tiền_thu_hồi_cho_vay_bán_lại_các_công_cụ_nợ_của_đơn_vị_khác_đồng,đầu_tư_vào_các_doanh_nghiệp_khác,tiền_thu_từ_việc_bán_các_khoản_đầu_tư_vào_doanh_nghiệp_khác,tiền_thu_cổ_tức_và_lợi_nhuận_được_chia,lưu_chuyển_từ_hoạt_động_đầu_tư,tăng_vốn_cổ_phần_từ_góp_vốn_và_hoặc_phát_hành_cổ_phiếu,chi_trả_cho_việc_mua_lại_trả_cổ_phiếu,tiền_thu_được_các_khoản_đi_vay,tiền_trả_các_khoản_đi_vay,cổ_tức_đã_trả,lưu_chuyển_tiền_từ_hoạt_động_tài_chính,lưu_chuyển_tiền_thuần_trong_kỳ,tiền_và_tương_đương_tiền,ảnh_hưởng_của_chênh_lệch_tỷ_giá,tiền_và_tương_đương_tiền_cuối_kỳ,symbol,extracted_at,source,tiền_thanh_toán_vốn_gốc_đi_thuê_tài_chính
VNM,2020,4,2671876716607.00,545413737797.00,43717904388.00,17776990028.00,0.00,-602754158648.00,25857854618.00,0.00,3065931746758.00,338096748719.00,219062180306.00,-342930345042.00,-13902968116.00,-24747091435.00,-1376173589619.00,0.00,-242254695396.00,1623081986175.00,-331440622408.00,41623645123.00,355606409411.00,22720498078.00,0.00,15660460001.00,679703952898.00,783874343103.00,0.00,0.00,3513640917035.00,-2628425044234.00,-3515487388000.00,-2630271515199.00,-223315185921.00,2335881481579.00,-1323480077.00,2111242815581.00,VNM,2026-02-10,VCI,
VNM,2020,3,3777019789971.00,551231227788.00,-2000594719.00,-14810127185.00,0.00,-331009325392.00,38257217439.00,0.00,4151930444988.00,-156108957411.00,369339834301.00,154975681705.00,42452692812.00,-97654097013.00,-440226814798.00,0.00,-275703469573.00,3749005315011.00,-259511681417.00,45232304785.00,-1209731363792.00,-19798404571.00,0.00,56700000.00,239814007393.00,-1203938437602.00,0.00,0.00,2931509588341.00,-2703692788327.00,-2612066540460.00,-2384249740446.00,160817136963.00,2176667357252.00,-1603012636.00,2335881481579.00,VNM,2026-02-10,VCI,
VNM,2020,2,3711380577468.00,556761193198.00,6782636573.00,-70182197587.00,0.00,-305112953506.00,37641854799.00,0.00,4015191853351.00,-798813712450.00,-41272718213.00,-251611274053.00,116164637797.00,-43161271053.00,-3883737667.00,0.00,-64173681018.00,2928440096694.00,-285938583140.00,34914151212.00,-2151737750322.00,13050562820.00,0.00,5914424085.00,102167616423.00,-2281629578922.00,0.00,-14364328733.00,363879305622.00,-190086416469.00,-9682167601.00,149746392819.00,796556910591.00,1379711866875.00,398579786.00,2176667357252.00,VNM,2026-02-10,VCI,
VNM,2020,1,3358259002978.00,555460462969.00,1003914771.00,67852556191.00,0.00,-243434785501.00,42061538321.00,0.00,3857284664651.00,-98128897274.00,-817204595821.00,226768277649.00,-121073448246.00,-47206055606.00,-466046765343.00,0.00,-654774677678.00,1879641990348.00,-387926108738.00,28572651322.00,-1875408172827.00,15592992000.00,-8134000.00,0.00,118860284353.00,-2100316487890.00,0.00,0.00,960114694496.00,-231397975055.00,-1790475448000.00,-1061758728559.00,-1282433226101.00,2665194638452.00,-3049545476.00,1379711866875.00,VNM,2026-02-10,VCI,
VNM,2019,4,2649338858483.00,502928809106.00,1003332731.00,7871927410.00,0.00,-223541479216.00,35838396433.00,0.00,2996776067070.00,1086934191849.00,179425917988.00,-134249653741.00,18374333821.00,-59045450382.00,-830474047043.00,0.00,-7738740515.00,3245522579047.00,-412682027575.00,41889685185.00,-2150520561967.00,603109511.00,-674953145601.00,-5094607490.00,388922232516.00,-2811835315421.00,-127856925000.00,127768725000.00,2793809369363.00,-1606120787370.00,0.00,1187600381993.00,1621287645619.00,1043473767363.00,433225470.00,2665194638452.00,VNM,2026-02-10,VCI,
VNM,2019,3,3253756149711.00,494141498125.00,-748428436.00,-678177168.00,0.00,-171662309655.00,27795829812.00,0.00,3632874011664.00,-141321492048.00,466516959344.00,222731981563.00,118497985945.00,-81161524995.00,-499993419017.00,0.00,-272923098054.00,3445221404402.00,-515985946731.00,28996148615.00,-932595439820.00,638871538.00,-82911895211.00,0.00,89883118829.00,-1411975142780.00,-126787500.00,-21047760.00,2926898806392.00,-2105756532596.00,-3482755388000.00,-2661760949464.00,-628514687842.00,1676491290318.00,-4502835113.00,1043473767363.00,VNM,2026-02-10,VCI,
VNM,2019,2,3549831766256.00,478654208826.00,2076193560.00,468890998.00,0.00,-175936221517.00,25355145802.00,0.00,3908018643554.00,164882527594.00,-348103866318.00,130558345289.00,-24826984854.00,-69330211449.00,-294323955874.00,0.00,-146351574871.00,3320522923071.00,-551822503663.00,21603005352.00,360592524771.00,646992000.00,-1324814577950.00,6607824875.00,127792733879.00,-1359394000736.00,128305350940.00,-128807701000.00,2229905423649.00,-1113102253725.00,-2612087527500.00,-1495786707636.00,465342214699.00,1209154406312.00,1994669307.00,1676491290318.00,VNM,2026-02-10,VCI,
VNM,2019,1,3342782864107.00,472348259477.00,5001735507.00,-1204432181.00,0.00,-151304520654.00,19835521940.00,0.00,3718201085788.00,-736900175446.00,104156418177.00,-618843746648.00,-95636203348.00,-18379368663.00,-408800744034.00,0.00,-545135630656.00,1398661635170.00,-677758728707.00,21601148510.00,-492856250615.00,709224499.00,-75558716069.00,0.00,59192929151.00,-1164670393231.00,-321638440.00,127669500000.00,2476161669254.00,-1408133072360.00,-1741407855000.00,-546031396546.00,-312040154607.00,1522610167671.00,-1415606752.00,1209154406312.00,VNM,2026-02-10,VCI,
VNM,2018,4,2680499625011.00,435817082372.00,5482797862.00,-3513282284.00,31287841927.00,-12621228032.00,13558039918.00,-155905033876.00,3009588296958.00,631935457172.00,-1260296240064.00,1198124725250.00,44057075460.00,-73679724730.00,-812899793394.00,0.00,-97641858898.00,2639187937754.00,-754460003456.00,24503898262.00,-1302290439295.00,1196918636.00,0.00,16955703509.00,192851388570.00,-1821242533774.00,0.00,-634110920.00,2477404795723.00,-2401212316800.00,0.00,75558368003.00,893503771983.00,630784664818.00,-1678269130.00,1522610167671.00,VNM,2026-02-10,VCI,
VNM,2018,3,3033968043856.00,410134236563.00,-96807242830.00,-1357776969.00,22784482067.00,-5892802666.00,11981786169.00,-154195368449.00,3234595049035.00,-242670243422.00,502408308195.00,-696799651704.00,20297499116.00,-13598961804.00,-352525024151.00,-149174000.00,-211592389694.00,2239965411571.00,-735685538410.00,36327914820.00,1149651771427.00,189361909797.00,0.00,297000000.00,149506005109.00,789459062743.00,0.00,-370485840.00,38193734965.00,-880855186260.00,-2902384504000.00,-3745416441135.00,-715991966821.00,1343435279374.00,3341352265.00,630784664818.00,VNM,2026-02-10,VCI,
