Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source,symbol
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,,
VNM,2020,3,0.21,0.59,0.44,1.52,1.25,4.12,24.91,62.38,40.70,127.98,5.85,0.23,0.47,0.20,0.35,0.33,0.23,14780020326210.00,3523460016325,0.03,1.74,0.13,1.45,-92.10,1.59,214815541568800.00,2089645346.00,19.33,7.32,3.61,18.20,1472.57,14044.01,14.98,VNM,2026-02-10,VCI,VNM
VNM,2020,2,0.20,0.53,0.44,1.55,1.29,4.07,24.96,63.09,42.46,130.51,5.79,0.22,0.46,0.20,0.35,0.32,0.24,14312539775796.00,3380520833178,0.02,1.80,0.13,1.46,-89.81,1.53,225681697368000.00,2089645346.00,21.04,7.49,3.88,19.63,1469.97,14421.38,16.22,VNM,2026-02-10,VCI,VNM
VNM,2020,1,0.20,0.43,0.45,1.54,1.34,4.08,25.19,64.24,44.72,134.15,5.68,0.23,0.47,0.20,0.36,0.32,0.25,14219646294257.00,3212325477301,0.00,1.99,0.10,1.56,-76.37,1.43,191377408570600.00,1741377694.00,18.13,6.38,3.34,16.09,1587.77,17233.76,13.96,VNM,2026-02-10,VCI,VNM
VNM,2019,4,0.19,0.50,0.50,1.42,1.37,3.99,22.43,64.63,46.88,133.94,5.65,0.18,0.47,0.15,0.38,0.35,0.26,14130532456354.00,2497332306345,0.03,1.71,0.18,1.37,-69.68,1.50,172396391706000.00,1741377694.00,16.30,6.27,3.06,15.11,1264.24,15794.42,12.47,VNM,2026-02-10,VCI,VNM
VNM,2019,3,0.16,0.44,0.48,1.33,1.41,4.15,26.98,67.50,45.16,139.63,5.41,0.22,0.47,0.19,0.38,0.38,0.27,14037460972339.00,3113069195574,0.03,1.86,0.12,1.44,-112.00,1.44,203044639120400.00,1741377694.00,19.01,7.45,3.69,18.79,1544.86,15654.32,14.74,VNM,2026-02-10,VCI,VNM
VNM,2019,2,0.13,0.39,0.46,1.38,1.46,4.25,27.21,66.12,43.39,136.72,5.52,0.23,0.48,0.20,0.38,0.37,0.28,13636366204931.00,3365734336011,0.01,2.04,0.20,1.53,-132.74,1.39,233518748765400.00,1741377694.00,22.14,8.24,4.28,24.33,1664.62,16274.24,17.30,VNM,2026-02-10,VCI,VNM
VNM,2019,1,0.09,0.32,0.45,1.38,1.47,4.36,27.10,64.83,44.94,136.87,5.63,0.24,0.47,0.21,0.38,0.37,0.28,13204320057388.00,3206323842890,0.00,2.50,0.19,1.89,-161.65,1.32,215060214122000.00,1741378252.00,20.85,7.59,4.01,24.15,1602.60,16271.29,16.42,VNM,2026-02-10,VCI,VNM
VNM,2018,4,0.06,0.42,0.51,1.26,1.46,4.38,24.62,62.55,51.95,139.12,5.84,0.19,0.47,0.18,0.41,0.41,0.28,12838801713219.00,2471372549064,0.02,1.93,0.18,1.41,-182.28,1.42,226034739579000.00,1741407855.00,22.10,8.77,4.30,27.77,1320.47,14804.77,17.69,VNM,2026-02-10,VCI,VNM
VNM,2018,3,0.06,0.31,0.45,1.24,1.48,4.73,27.94,57.89,47.20,133.03,6.31,0.20,0.47,0.19,0.38,0.39,0.28,12168546167123.00,2795981689728,0.02,2.49,0.15,1.90,-233.35,1.31,235960764352500.00,1741407855.00,24.40,9.27,4.55,36.04,1470.15,14619.70,19.48,VNM,2026-02-10,VCI,VNM
VNM,2018,2,0.00,0.00,0.42,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.47,0.19,0.00,0.00,0.00,0.00,3016871982497,0.02,0.00,0.00,0.00,-174.67,1.36,204269342056800.00,1741426616.00,20.83,7.84,3.97,29.93,1531.13,14956.16,16.66,VNM,2026-02-10,VCI,VNM
