time,open,high,low,close,volume,_symbol,_extracted_at,_source
2025-12-08,26.90,27.10,26.75,26.75,21455600,HPG,2026-02-10,VCI
2025-12-09,26.70,26.90,26.40,26.40,39911800,HPG,2026-02-10,VCI
2025-12-10,26.65,27.00,26.60,26.65,19708000,HPG,2026-02-10,VCI
2025-12-11,26.70,26.90,26.50,26.55,17142200,HPG,2026-02-10,VCI
2025-12-12,26.60,26.70,26.00,26.00,37088200,HPG,2026-02-10,VCI
2025-12-15,26.25,26.40,26.05,26.25,23939400,HPG,2026-02-10,VCI
2025-12-16,26.35,26.95,26.25,26.70,29329900,HPG,2026-02-10,VCI
2025-12-17,26.70,26.70,26.40,26.40,16546600,HPG,2026-02-10,VCI
2025-12-18,26.40,26.55,26.25,26.40,18777900,HPG,2026-02-10,VCI
2025-12-19,26.40,26.70,26.40,26.70,29580600,HPG,2026-02-10,VCI
2025-12-22,26.70,27.10,26.60,26.90,54880900,HPG,2026-02-10,VCI
2025-12-23,27.05,27.20,26.65,26.75,29588500,HPG,2026-02-10,VCI
2025-12-24,26.85,26.85,26.50,26.55,23136900,HPG,2026-02-10,VCI
2025-12-25,26.55,26.65,26.25,26.25,29780000,HPG,2026-02-10,VCI
2025-12-26,27.10,27.70,26.65,26.90,94035000,HPG,2026-02-10,VCI
2025-12-29,27.00,27.00,26.65,26.70,16525200,HPG,2026-02-10,VCI
2025-12-30,26.70,26.85,26.50,26.50,24581900,HPG,2026-02-10,VCI
2025-12-31,26.45,26.60,26.35,26.40,20149700,HPG,2026-02-10,VCI
2026-01-05,26.40,26.55,25.70,25.95,46487900,HPG,2026-02-10,VCI
2026-01-06,26.00,26.20,25.35,25.95,39616600,HPG,2026-02-10,VCI
2026-01-07,25.95,26.75,25.95,26.60,37249700,HPG,2026-02-10,VCI
2026-01-08,26.70,26.80,26.40,26.40,37518600,HPG,2026-02-10,VCI
2026-01-09,26.80,26.80,26.20,26.20,35089300,HPG,2026-02-10,VCI
2026-01-12,26.35,27.60,26.35,27.50,83534900,HPG,2026-02-10,VCI
2026-01-13,27.75,27.90,27.00,27.25,45777400,HPG,2026-02-10,VCI
2026-01-14,27.45,27.60,27.00,27.25,53908300,HPG,2026-02-10,VCI
2026-01-15,27.25,27.90,27.25,27.60,61937700,HPG,2026-02-10,VCI
2026-01-16,27.80,28.25,27.30,27.60,65577000,HPG,2026-02-10,VCI
2026-01-19,27.90,28.20,27.65,27.70,40465900,HPG,2026-02-10,VCI
2026-01-20,27.85,27.95,27.10,27.25,44169600,HPG,2026-02-10,VCI
2026-01-21,27.15,27.25,26.65,26.80,37234300,HPG,2026-02-10,VCI
2026-01-22,26.90,27.30,26.85,26.85,27732600,HPG,2026-02-10,VCI
2026-01-23,27.10,27.15,26.75,26.75,24233600,HPG,2026-02-10,VCI
2026-01-26,26.75,26.80,26.15,26.30,33759300,HPG,2026-02-10,VCI
2026-01-27,26.35,26.55,26.20,26.45,21014200,HPG,2026-02-10,VCI
2026-01-28,26.55,27.10,26.55,26.70,29982700,HPG,2026-02-10,VCI
2026-01-29,26.80,27.10,26.80,27.10,27608700,HPG,2026-02-10,VCI
2026-01-30,27.30,27.50,26.75,26.80,40558400,HPG,2026-02-10,VCI
2026-02-02,26.80,26.80,26.25,26.55,44024300,HPG,2026-02-10,VCI
2026-02-03,26.65,27.10,26.65,26.75,32029900,HPG,2026-02-10,VCI
2026-02-04,26.85,28.60,26.85,28.30,145418100,HPG,2026-02-10,VCI
2026-02-05,28.30,28.35,27.55,27.55,32887100,HPG,2026-02-10,VCI
2026-02-06,27.35,28.10,26.80,26.80,67073000,HPG,2026-02-10,VCI
2026-02-09,27.05,27.30,26.70,26.75,24310400,HPG,2026-02-10,VCI
