Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,_symbol,_extracted_at,_source
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,,
HPG,2020,2,1.20,1.14,0.88,0.69,0.69,2.10,15.39,120.71,75.81,211.91,3.02,0.16,0.18,0.13,0.18,0.12,0.08,15113852600073.00,3290947994368,0.00,1.16,0.22,0.54,-6.29,2.14,102380434163100,3313282659,11.77,1.95,1.41,10.50,827.83,15816.55,9.11,HPG,2026-02-10,VCI
HPG,2020,1,1.23,1.14,0.92,0.65,0.68,2.56,15.53,120.73,76.83,213.10,3.02,0.17,0.20,0.12,0.17,0.12,0.08,13935311698969.00,3351974905826,0.00,1.15,0.21,0.49,-6.97,2.14,77862290043000,2761074115,9.74,1.56,1.15,11.23,827.68,18065.72,8.13,HPG,2026-02-10,VCI
HPG,2019,4,1.18,1.13,0.65,0.62,0.71,2.89,14.28,117.10,85.26,216.64,3.12,0.14,0.16,0.11,0.17,0.12,0.08,12336265404756.00,2459870445038,0.00,1.13,0.17,0.41,-9.10,2.13,61019737941500,2761074115,8.11,1.28,0.96,7.91,694.30,17248.15,7.73,HPG,2026-02-10,VCI
HPG,2019,3,1.28,1.12,0.33,0.60,0.68,4.30,14.79,113.85,83.54,212.18,3.21,0.15,0.18,0.12,0.17,0.11,0.08,11855341499903.00,2324979628045,0.00,1.24,0.16,0.47,-8.74,2.12,69855175109500,2761074115,9.50,1.52,1.16,21.10,635.53,16612.00,8.79,HPG,2026-02-10,VCI
HPG,2019,2,1.23,1.10,0.31,0.58,0.73,4.40,15.46,109.42,83.54,208.41,3.34,0.17,0.19,0.13,0.19,0.13,0.10,12498509200416.00,2651507902805,0.00,1.31,0.26,0.62,-12.31,2.10,60191415707000,2761074115,7.52,1.36,1.02,7.56,737.10,15976.48,7.10,HPG,2026-02-10,VCI
HPG,2019,1,1.16,1.01,0.33,0.55,0.78,4.36,15.12,107.56,68.06,190.74,3.39,0.15,0.18,0.12,0.21,0.14,0.11,12460662116072.00,2306677075742,0.00,1.28,0.28,0.70,-12.46,2.01,61019737941500,2761074115,7.48,1.45,1.06,8.74,652.21,15239.35,6.86,HPG,2026-02-10,VCI
HPG,2018,4,0.91,0.93,0.31,0.53,0.85,4.30,13.99,107.77,67.05,188.82,3.39,0.15,0.18,0.12,0.23,0.16,0.13,12809592322260.00,2159491091356,0.00,1.12,0.11,0.49,-14.90,1.93,70301327194600,2123907166,8.20,1.74,1.26,9.20,830.65,19066.74,6.91,HPG,2026-02-10,VCI
HPG,2018,3,0.80,0.80,0.34,0.51,0.90,4.14,14.75,111.67,38.63,165.05,3.27,0.21,0.23,0.17,0.26,0.18,0.15,13496796176344.00,3022951872378,0.00,1.48,0.19,0.80,-21.34,1.80,61593307814000,2123907166,6.69,1.58,1.14,8.63,1130.91,18316.78,5.91,HPG,2026-02-10,VCI
HPG,2018,2,0.00,0.00,0.36,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.20,0.15,0.00,0.00,0.00,0.00,2660408095886,0.00,0.00,0.00,0.00,-19.67,1.69,82195207324200,2123907166,9.12,2.25,1.56,11.22,1033.75,17185.75,7.20,HPG,2026-02-10,VCI
HPG,2018,1,0.42,0.58,0.38,0.45,1.00,3.81,13.65,111.06,34.48,159.19,3.29,0.21,0.23,0.17,0.28,0.21,0.17,12150511172900.00,2707143764340,0.00,1.89,0.38,1.24,-22.94,1.58,78690760500300,2123907166,9.14,1.64,1.61,8.81,1041.13,22613.81,6.95,HPG,2026-02-10,VCI
